"Scientific.Name","HUC2","Native"
"Agosia.chrysogaster","15","Non-native"
"Alosa.chrysochloris","05","Non-native"
"Alosa.pseudoharengus","01","Non-native"
"Ambloplites.ariommus","10","Non-native"
"Ambloplites.ariommus","11","Non-native"
"Ambloplites.constellatus","10","Non-native"
"Ambloplites.constellatus","11","Non-native"
"Ambloplites.rupestris","01","Non-native"
"Ambloplites.rupestris","02","Non-native"
"Ambloplites.rupestris","03","Non-native"
"Ambloplites.rupestris","04","Non-native"
"Ambloplites.rupestris","05","Non-native"
"Ambloplites.rupestris","08","Non-native"
"Ambloplites.rupestris","10","Non-native"
"Ambloplites.rupestris","11","Non-native"
"Ambloplites.rupestris","17","Non-native"
"Ameiurus.brunneus","03","Non-native"
"Ameiurus.catus","18","Non-native"
"Ameiurus.melas","02","Non-native"
"Ameiurus.melas","03","Non-native"
"Ameiurus.melas","10","Non-native"
"Ameiurus.melas","11","Non-native"
"Ameiurus.melas","14","Non-native"
"Ameiurus.melas","15","Non-native"
"Ameiurus.melas","16","Non-native"
"Ameiurus.melas","17","Non-native"
"Ameiurus.melas","18","Non-native"
"Ameiurus.natalis","01","Non-native"
"Ameiurus.natalis","02","Non-native"
"Ameiurus.natalis","03","Non-native"
"Ameiurus.natalis","05","Non-native"
"Ameiurus.natalis","10","Non-native"
"Ameiurus.natalis","13","Non-native"
"Ameiurus.natalis","14","Non-native"
"Ameiurus.natalis","15","Non-native"
"Ameiurus.natalis","17","Non-native"
"Ameiurus.natalis","18","Non-native"
"Ameiurus.nebulosus","01","Non-native"
"Ameiurus.nebulosus","04","Non-native"
"Ameiurus.nebulosus","05","Non-native"
"Ameiurus.nebulosus","06","Non-native"
"Ameiurus.nebulosus","10","Non-native"
"Ameiurus.nebulosus","11","Non-native"
"Ameiurus.nebulosus","17","Non-native"
"Ameiurus.nebulosus","18","Non-native"
"Ameiurus.platycephalus","03","Non-native"
"Ammocrypta.pellucida","04","Non-native"
"Ammocrypta.pellucida","05","Non-native"
"Aplodinotus.grunniens","04","Non-native"
"Aplodinotus.grunniens","10","Non-native"
"Astyanax.mexicanus","12","Non-native"
"Campostoma.anomalum","02","Non-native"
"Campostoma.anomalum","03","Non-native"
"Campostoma.anomalum","04","Non-native"
"Campostoma.anomalum","05","Non-native"
"Campostoma.anomalum","07","Non-native"
"Campostoma.anomalum","09","Non-native"
"Campostoma.anomalum","10","Non-native"
"Campostoma.oligolepis","03","Non-native"
"Campostoma.oligolepis","05","Non-native"
"Campostoma.oligolepis","06","Non-native"
"Campostoma.oligolepis","07","Non-native"
"Campostoma.oligolepis","09","Non-native"
"Campostoma.oligolepis","10","Non-native"
"Campostoma.oligolepis","11","Non-native"
"Carassius.auratus","01","Non-native"
"Carassius.auratus","02","Non-native"
"Carassius.auratus","03","Non-native"
"Carassius.auratus","04","Non-native"
"Carassius.auratus","05","Non-native"
"Carassius.auratus","07","Non-native"
"Carassius.auratus","09","Non-native"
"Carassius.auratus","10","Non-native"
"Carassius.auratus","11","Non-native"
"Carassius.auratus","12","Non-native"
"Carassius.auratus","15","Non-native"
"Carassius.auratus","16","Non-native"
"Carassius.auratus","18","Non-native"
"Carpiodes.carpio","05","Non-native"
"Carpiodes.carpio","07","Non-native"
"Carpiodes.carpio","09","Non-native"
"Carpiodes.carpio","10","Non-native"
"Carpiodes.cyprinus","10","Non-native"
"Carpiodes.velifer","04","Non-native"
"Catostomus.catostomus","10","Non-native"
"Catostomus.catostomus","11","Non-native"
"Catostomus.catostomus","13","Non-native"
"Catostomus.catostomus","14","Non-native"
"Catostomus.clarkii","16","Non-native"
"Catostomus.columbianus","17","Non-native"
"Catostomus.commersonii","01","Non-native"
"Catostomus.commersonii","03","Non-native"
"Catostomus.commersonii","04","Non-native"
"Catostomus.commersonii","09","Non-native"
"Catostomus.commersonii","11","Non-native"
"Catostomus.commersonii","13","Non-native"
"Catostomus.commersonii","14","Non-native"
"Catostomus.commersonii","16","Non-native"
"Catostomus.macrocheilus","17","Non-native"
"Chrosomus.eos","01","Non-native"
"Chrosomus.eos","04","Non-native"
"Chrosomus.eos","07","Non-native"
"Chrosomus.eos","09","Non-native"
"Chrosomus.eos","10","Non-native"
"Chrosomus.erythrogaster","04","Non-native"
"Chrosomus.erythrogaster","05","Non-native"
"Chrosomus.erythrogaster","06","Non-native"
"Chrosomus.erythrogaster","07","Non-native"
"Chrosomus.erythrogaster","10","Non-native"
"Chrosomus.erythrogaster","11","Non-native"
"Chrosomus.oreas","03","Non-native"
"Chrosomus.oreas","05","Non-native"
"Clarias.batrachus","03","Non-native"
"Clinostomus.funduloides","02","Non-native"
"Clinostomus.funduloides","03","Non-native"
"Clinostomus.funduloides","05","Non-native"
"Cottus.asper","17","Non-native"
"Cottus.asper","18","Non-native"
"Cottus.bairdii","03","Non-native"
"Cottus.bairdii","04","Non-native"
"Cottus.bairdii","05","Non-native"
"Cottus.bairdii","06","Non-native"
"Cottus.bairdii","07","Non-native"
"Cottus.bairdii","09","Non-native"
"Cottus.bairdii","10","Non-native"
"Cottus.bairdii","14","Non-native"
"Cottus.bairdii","16","Non-native"
"Cottus.bairdii","17","Non-native"
"Cottus.beldingii","17","Non-native"
"Cottus.caeruleomentum","02","Non-native"
"Cottus.caeruleomentum","03","Non-native"
"Cottus.carolinae","02","Non-native"
"Cottus.carolinae","03","Non-native"
"Cottus.carolinae","05","Non-native"
"Cottus.carolinae","06","Non-native"
"Cottus.carolinae","07","Non-native"
"Cottus.carolinae","10","Non-native"
"Cottus.carolinae","11","Non-native"
"Cottus.cognatus","17","Non-native"
"Cottus.confusus","17","Non-native"
"Cottus.girardi","02","Non-native"
"Cottus.hypselurus","11","Non-native"
"Cottus.perplexus","17","Non-native"
"Couesius.plumbeus","09","Non-native"
"Culaea.inconstans","04","Non-native"
"Culaea.inconstans","09","Non-native"
"Culaea.inconstans","10","Non-native"
"Culaea.inconstans","11","Non-native"
"Culaea.inconstans","13","Non-native"
"Culaea.inconstans","14","Non-native"
"Culaea.inconstans","17","Non-native"
"Cycleptus.elongatus","10","Non-native"
"Cycleptus.elongatus","14","Non-native"
"Cyprinella.analostana","02","Non-native"
"Cyprinella.analostana","03","Non-native"
"Cyprinella.callistia","03","Non-native"
"Cyprinella.camura","06","Non-native"
"Cyprinella.camura","08","Non-native"
"Cyprinella.camura","10","Non-native"
"Cyprinella.camura","11","Non-native"
"Cyprinella.chloristia","03","Non-native"
"Cyprinella.galactura","03","Non-native"
"Cyprinella.galactura","05","Non-native"
"Cyprinella.galactura","06","Non-native"
"Cyprinella.galactura","11","Non-native"
"Cyprinella.leedsi","03","Non-native"
"Cyprinella.lutrensis","03","Non-native"
"Cyprinella.lutrensis","05","Non-native"
"Cyprinella.lutrensis","07","Non-native"
"Cyprinella.lutrensis","08","Non-native"
"Cyprinella.lutrensis","10","Non-native"
"Cyprinella.lutrensis","11","Non-native"
"Cyprinella.lutrensis","14","Non-native"
"Cyprinella.lutrensis","15","Non-native"
"Cyprinella.lutrensis","16","Non-native"
"Cyprinella.lutrensis","17","Non-native"
"Cyprinella.lutrensis","18","Non-native"
"Cyprinella.nivea","03","Non-native"
"Cyprinella.spiloptera","02","Non-native"
"Cyprinella.spiloptera","04","Non-native"
"Cyprinella.spiloptera","05","Non-native"
"Cyprinella.spiloptera","06","Non-native"
"Cyprinella.spiloptera","07","Non-native"
"Cyprinella.spiloptera","09","Non-native"
"Cyprinella.spiloptera","10","Non-native"
"Cyprinella.trichroistia","03","Non-native"
"Cyprinella.venusta","10","Non-native"
"Cyprinella.venusta","12","Non-native"
"Cyprinella.whipplei","07","Non-native"
"Cyprinella.whipplei","08","Non-native"
"Cyprinella.zanema","03","Non-native"
"Cyprinodon.rubrofluviatilis","11","Non-native"
"Cyprinus.carpio","01","Non-native"
"Cyprinus.carpio","02","Non-native"
"Cyprinus.carpio","03","Non-native"
"Cyprinus.carpio","04","Non-native"
"Cyprinus.carpio","05","Non-native"
"Cyprinus.carpio","06","Non-native"
"Cyprinus.carpio","07","Non-native"
"Cyprinus.carpio","08","Non-native"
"Cyprinus.carpio","09","Non-native"
"Cyprinus.carpio","10","Non-native"
"Cyprinus.carpio","11","Non-native"
"Cyprinus.carpio","12","Non-native"
"Cyprinus.carpio","13","Non-native"
"Cyprinus.carpio","14","Non-native"
"Cyprinus.carpio","15","Non-native"
"Cyprinus.carpio","16","Non-native"
"Cyprinus.carpio","17","Non-native"
"Cyprinus.carpio","18","Non-native"
"Dionda.serena","12","Non-native"
"Dorosoma.cepedianum","04","Non-native"
"Dorosoma.cepedianum","06","Non-native"
"Dorosoma.cepedianum","10","Non-native"
"Dorosoma.cepedianum","11","Non-native"
"Dorosoma.petenense","03","Non-native"
"Dorosoma.petenense","07","Non-native"
"Dorosoma.petenense","11","Non-native"
"Dorosoma.petenense","12","Non-native"
"Dorosoma.petenense","18","Non-native"
"Elassoma.evergladei","03","Non-native"
"Elassoma.zonatum","03","Non-native"
"Elassoma.zonatum","12","Non-native"
"Enneacanthus.chaetodon","03","Non-native"
"Erimystax.dissimilis","11","Non-native"
"Erimyzon.oblongus","01","Non-native"
"Erimyzon.oblongus","02","Non-native"
"Erimyzon.oblongus","03","Non-native"
"Erimyzon.oblongus","05","Non-native"
"Erimyzon.oblongus","06","Non-native"
"Erimyzon.oblongus","07","Non-native"
"Erimyzon.oblongus","08","Non-native"
"Erimyzon.oblongus","11","Non-native"
"Erimyzon.oblongus","12","Non-native"
"Erimyzon.sucetta","02","Non-native"
"Esox.americanus","01","Non-native"
"Esox.americanus","05","Non-native"
"Esox.americanus","07","Non-native"
"Esox.americanus","10","Non-native"
"Esox.lucius","01","Non-native"
"Esox.lucius","04","Non-native"
"Esox.lucius","10","Non-native"
"Esox.lucius","13","Non-native"
"Esox.masquinongy","02","Non-native"
"Esox.masquinongy","07","Non-native"
"Esox.niger","01","Non-native"
"Esox.niger","05","Non-native"
"Esox.niger","12","Non-native"
"Etheostoma.asprigene","03","Non-native"
"Etheostoma.asprigene","05","Non-native"
"Etheostoma.asprigene","07","Non-native"
"Etheostoma.asprigene","08","Non-native"
"Etheostoma.asprigene","12","Non-native"
"Etheostoma.blennioides","02","Non-native"
"Etheostoma.blennioides","03","Non-native"
"Etheostoma.blennioides","04","Non-native"
"Etheostoma.blennioides","07","Non-native"
"Etheostoma.blennioides","11","Non-native"
"Etheostoma.caeruleum","02","Non-native"
"Etheostoma.caeruleum","05","Non-native"
"Etheostoma.caeruleum","07","Non-native"
"Etheostoma.chlorosoma","03","Non-native"
"Etheostoma.chlorosoma","05","Non-native"
"Etheostoma.chlorosoma","08","Non-native"
"Etheostoma.chlorosoma","11","Non-native"
"Etheostoma.chlorosoma","12","Non-native"
"Etheostoma.collis","03","Non-native"
"Etheostoma.coosae","03","Non-native"
"Etheostoma.euzonum","10","Non-native"
"Etheostoma.euzonum","11","Non-native"
"Etheostoma.exile","07","Non-native"
"Etheostoma.exile","09","Non-native"
"Etheostoma.exile","10","Non-native"
"Etheostoma.flabellare","02","Non-native"
"Etheostoma.flabellare","03","Non-native"
"Etheostoma.flabellare","04","Non-native"
"Etheostoma.flabellare","05","Non-native"
"Etheostoma.flabellare","06","Non-native"
"Etheostoma.flabellare","07","Non-native"
"Etheostoma.flabellare","10","Non-native"
"Etheostoma.flabellare","11","Non-native"
"Etheostoma.fusiforme","01","Non-native"
"Etheostoma.gracile","03","Non-native"
"Etheostoma.gracile","05","Non-native"
"Etheostoma.gracile","07","Non-native"
"Etheostoma.gracile","08","Non-native"
"Etheostoma.gracile","11","Non-native"
"Etheostoma.gracile","12","Non-native"
"Etheostoma.hopkinsi","03","Non-native"
"Etheostoma.inscriptum","03","Non-native"
"Etheostoma.juliae","11","Non-native"
"Etheostoma.longimanum","02","Non-native"
"Etheostoma.longimanum","03","Non-native"
"Etheostoma.maculatum","05","Non-native"
"Etheostoma.nigripinne","06","Non-native"
"Etheostoma.nigrum","02","Non-native"
"Etheostoma.nigrum","04","Non-native"
"Etheostoma.nigrum","07","Non-native"
"Etheostoma.nigrum","09","Non-native"
"Etheostoma.nigrum","10","Non-native"
"Etheostoma.olmstedi","01","Non-native"
"Etheostoma.punctulatum","07","Non-native"
"Etheostoma.punctulatum","10","Non-native"
"Etheostoma.punctulatum","11","Non-native"
"Etheostoma.ramseyi","03","Non-native"
"Etheostoma.rufilineatum","05","Non-native"
"Etheostoma.rupestre","03","Non-native"
"Etheostoma.simoterum","05","Non-native"
"Etheostoma.simoterum","06","Non-native"
"Etheostoma.simoterum","08","Non-native"
"Etheostoma.spectabile","04","Non-native"
"Etheostoma.spectabile","05","Non-native"
"Etheostoma.spectabile","07","Non-native"
"Etheostoma.spectabile","08","Non-native"
"Etheostoma.spectabile","10","Non-native"
"Etheostoma.spectabile","11","Non-native"
"Etheostoma.spectabile","12","Non-native"
"Etheostoma.stigmaeum","03","Non-native"
"Etheostoma.stigmaeum","05","Non-native"
"Etheostoma.stigmaeum","06","Non-native"
"Etheostoma.stigmaeum","08","Non-native"
"Etheostoma.stigmaeum","11","Non-native"
"Etheostoma.swaini","03","Non-native"
"Etheostoma.swaini","08","Non-native"
"Etheostoma.tetrazonum","07","Non-native"
"Etheostoma.tetrazonum","10","Non-native"
"Etheostoma.thalassinum","03","Non-native"
"Etheostoma.tippecanoe","05","Non-native"
"Etheostoma.variatum","05","Non-native"
"Etheostoma.whipplei","03","Non-native"
"Etheostoma.whipplei","08","Non-native"
"Etheostoma.whipplei","11","Non-native"
"Etheostoma.zonale","02","Non-native"
"Etheostoma.zonale","03","Non-native"
"Etheostoma.zonale","04","Non-native"
"Etheostoma.zonale","05","Non-native"
"Exoglossum.maxillingua","02","Non-native"
"Exoglossum.maxillingua","03","Non-native"
"Exoglossum.maxillingua","04","Non-native"
"Exoglossum.maxillingua","05","Non-native"
"Fundulus.catenatus","03","Non-native"
"Fundulus.catenatus","05","Non-native"
"Fundulus.catenatus","11","Non-native"
"Fundulus.chrysotus","11","Non-native"
"Fundulus.diaphanus","05","Non-native"
"Fundulus.diaphanus","17","Non-native"
"Fundulus.dispar","05","Non-native"
"Fundulus.dispar","07","Non-native"
"Fundulus.dispar","08","Non-native"
"Fundulus.heteroclitus","02","Non-native"
"Fundulus.lineolatus","03","Non-native"
"Fundulus.notatus","05","Non-native"
"Fundulus.notatus","10","Non-native"
"Fundulus.notatus","11","Non-native"
"Fundulus.olivaceus","11","Non-native"
"Fundulus.olivaceus","12","Non-native"
"Fundulus.rathbuni","02","Non-native"
"Fundulus.rathbuni","03","Non-native"
"Fundulus.sciadicus","10","Non-native"
"Fundulus.zebrinus","10","Non-native"
"Fundulus.zebrinus","13","Non-native"
"Gambusia.affinis","01","Non-native"
"Gambusia.affinis","02","Non-native"
"Gambusia.affinis","03","Non-native"
"Gambusia.affinis","05","Non-native"
"Gambusia.affinis","07","Non-native"
"Gambusia.affinis","10","Non-native"
"Gambusia.affinis","11","Non-native"
"Gambusia.affinis","13","Non-native"
"Gambusia.affinis","15","Non-native"
"Gambusia.affinis","16","Non-native"
"Gambusia.affinis","17","Non-native"
"Gambusia.affinis","18","Non-native"
"Gila.atraria","14","Non-native"
"Hemitremia.flammea","03","Non-native"
"Hemitremia.flammea","06","Non-native"
"Hesperoleucus.symmetricus","18","Non-native"
"Hiodon.alosoides","07","Non-native"
"Hiodon.alosoides","10","Non-native"
"Hiodon.tergisus","10","Non-native"
"Hybognathus.argyritis","10","Non-native"
"Hybognathus.hankinsoni","04","Non-native"
"Hybognathus.hankinsoni","07","Non-native"
"Hybognathus.hankinsoni","09","Non-native"
"Hybognathus.hankinsoni","10","Non-native"
"Hybognathus.placitus","13","Non-native"
"Hybognathus.regius","01","Non-native"
"Hybopsis.amblops","07","Non-native"
"Hybopsis.lineapunctata","03","Non-native"
"Hybopsis.rubrifrons","03","Non-native"
"Hybopsis.winchelli","03","Non-native"
"Hybopsis.winchelli","08","Non-native"
"Hypentelium.etowanum","08","Non-native"
"Hypentelium.nigricans","02","Non-native"
"Hypentelium.nigricans","03","Non-native"
"Hypentelium.nigricans","10","Non-native"
"Hypophthalmichthys.nobilis","08","Non-native"
"Hypophthalmichthys.nobilis","10","Non-native"
"Ichthyomyzon.castaneus","04","Non-native"
"Ichthyomyzon.castaneus","05","Non-native"
"Ichthyomyzon.castaneus","08","Non-native"
"Ichthyomyzon.castaneus","09","Non-native"
"Ichthyomyzon.fossor","07","Non-native"
"Ichthyomyzon.fossor","09","Non-native"
"Ichthyomyzon.gagei","06","Non-native"
"Ichthyomyzon.gagei","08","Non-native"
"Ichthyomyzon.greeleyi","06","Non-native"
"Ichthyomyzon.unicuspis","04","Non-native"
"Ictalurus.furcatus","11","Non-native"
"Ictalurus.furcatus","12","Non-native"
"Ictalurus.punctatus","02","Non-native"
"Ictalurus.punctatus","03","Non-native"
"Ictalurus.punctatus","05","Non-native"
"Ictalurus.punctatus","07","Non-native"
"Ictalurus.punctatus","10","Non-native"
"Ictalurus.punctatus","13","Non-native"
"Ictalurus.punctatus","14","Non-native"
"Ictalurus.punctatus","15","Non-native"
"Ictalurus.punctatus","16","Non-native"
"Ictalurus.punctatus","17","Non-native"
"Ictalurus.punctatus","18","Non-native"
"Ictiobus.bubalus","03","Non-native"
"Ictiobus.bubalus","05","Non-native"
"Ictiobus.bubalus","07","Non-native"
"Ictiobus.bubalus","10","Non-native"
"Ictiobus.bubalus","11","Non-native"
"Labidesthes.sicculus","03","Non-native"
"Labidesthes.sicculus","10","Non-native"
"Labidesthes.sicculus","12","Non-native"
"Lepisosteus.oculatus","03","Non-native"
"Lepisosteus.oculatus","05","Non-native"
"Lepisosteus.oculatus","07","Non-native"
"Lepisosteus.oculatus","11","Non-native"
"Lepisosteus.oculatus","12","Non-native"
"Lepisosteus.osseus","05","Non-native"
"Lepisosteus.osseus","10","Non-native"
"Lepisosteus.osseus","11","Non-native"
"Lepisosteus.platostomus","08","Non-native"
"Lepisosteus.platostomus","10","Non-native"
"Lepisosteus.platostomus","11","Non-native"
"Lepisosteus.platostomus","12","Non-native"
"Lepomis.auritus","01","Non-native"
"Lepomis.auritus","03","Non-native"
"Lepomis.auritus","05","Non-native"
"Lepomis.auritus","06","Non-native"
"Lepomis.auritus","12","Non-native"
"Lepomis.auritus","13","Non-native"
"Lepomis.cyanellus","01","Non-native"
"Lepomis.cyanellus","02","Non-native"
"Lepomis.cyanellus","03","Non-native"
"Lepomis.cyanellus","04","Non-native"
"Lepomis.cyanellus","05","Non-native"
"Lepomis.cyanellus","06","Non-native"
"Lepomis.cyanellus","07","Non-native"
"Lepomis.cyanellus","09","Non-native"
"Lepomis.cyanellus","10","Non-native"
"Lepomis.cyanellus","11","Non-native"
"Lepomis.cyanellus","13","Non-native"
"Lepomis.cyanellus","14","Non-native"
"Lepomis.cyanellus","15","Non-native"
"Lepomis.cyanellus","16","Non-native"
"Lepomis.cyanellus","17","Non-native"
"Lepomis.cyanellus","18","Non-native"
"Lepomis.gibbosus","02","Non-native"
"Lepomis.gibbosus","05","Non-native"
"Lepomis.gibbosus","10","Non-native"
"Lepomis.gibbosus","11","Non-native"
"Lepomis.gibbosus","15","Non-native"
"Lepomis.gibbosus","17","Non-native"
"Lepomis.gulosus","02","Non-native"
"Lepomis.gulosus","03","Non-native"
"Lepomis.gulosus","04","Non-native"
"Lepomis.gulosus","05","Non-native"
"Lepomis.gulosus","06","Non-native"
"Lepomis.gulosus","07","Non-native"
"Lepomis.gulosus","10","Non-native"
"Lepomis.gulosus","11","Non-native"
"Lepomis.gulosus","12","Non-native"
"Lepomis.gulosus","13","Non-native"
"Lepomis.gulosus","17","Non-native"
"Lepomis.humilis","03","Non-native"
"Lepomis.humilis","04","Non-native"
"Lepomis.humilis","05","Non-native"
"Lepomis.humilis","09","Non-native"
"Lepomis.humilis","10","Non-native"
"Lepomis.humilis","12","Non-native"
"Lepomis.macrochirus","01","Non-native"
"Lepomis.macrochirus","02","Non-native"
"Lepomis.macrochirus","03","Non-native"
"Lepomis.macrochirus","04","Non-native"
"Lepomis.macrochirus","05","Non-native"
"Lepomis.macrochirus","07","Non-native"
"Lepomis.macrochirus","09","Non-native"
"Lepomis.macrochirus","10","Non-native"
"Lepomis.macrochirus","11","Non-native"
"Lepomis.macrochirus","16","Non-native"
"Lepomis.macrochirus","17","Non-native"
"Lepomis.macrochirus","18","Non-native"
"Lepomis.marginatus","03","Non-native"
"Lepomis.megalotis","02","Non-native"
"Lepomis.megalotis","03","Non-native"
"Lepomis.megalotis","04","Non-native"
"Lepomis.megalotis","05","Non-native"
"Lepomis.megalotis","07","Non-native"
"Lepomis.megalotis","10","Non-native"
"Lepomis.megalotis","11","Non-native"
"Lepomis.microlophus","02","Non-native"
"Lepomis.microlophus","03","Non-native"
"Lepomis.microlophus","04","Non-native"
"Lepomis.microlophus","05","Non-native"
"Lepomis.microlophus","07","Non-native"
"Lepomis.microlophus","10","Non-native"
"Lepomis.microlophus","11","Non-native"
"Lepomis.microlophus","12","Non-native"
"Lepomis.microlophus","16","Non-native"
"Lepomis.microlophus","17","Non-native"
"Lepomis.microlophus","18","Non-native"
"Lepomis.miniatus","03","Non-native"
"Lepomis.punctatus","03","Non-native"
"Lepomis.punctatus","08","Non-native"
"Lepomis.punctatus","11","Non-native"
